States/UTs,ITI / ITCs - Number,ITI / ITCs - Intake capacity
Andhra Pradesh,535,105308
Arunachal Pradesh,5,512
Assam,31,5776
Bihar,93,19224
Chhattisgarh,91,11080
Goa,14,3321
Gujarat,338,72804
Haryana,122,18936
Himachal Pradesh,78,6972
Jammu and Kashmir,38,4380
Jharkhand,51,9600
Karnataka,853,69416
Kerala,410,60531
Madhya Pradesh,183,21396
Maharashtra,576,92568
Manipur,7,540
Meghalaya,7,942
Mizoram,1,294
Nagaland,7,928
Orissa,233,38310
Punjab,197,29923
Rajasthan,233,18553
Sikkim,1,212
Tamil Nadu,664,75748
Tripura,8,816
Uttar Pradesh,449,44256
Uttarakhand,77,8287
West Bengal,71,12372
Andaman and Nicobar Islands,1,241
Chandigarh,2,804
Dadra and Nagar Haveli,1,228
Daman Diu,2,388
Delhi,71,13032
Lakshadweep,1,96
Puducherry,14,1716
INDIA,5465,749510
